Smiles,Rf,XGB,SVM,Mean
c1(nc2c(s1)cc(NC(=O)CC1CCCC1)cc2)NC(=O)c1ccccc1,0.573174201,0.76311105,0.559533418,0.631939558
C(=O)(c1cnc(c2cc(F)ccc2)cc1)Nc1ccc(Oc2ccccc2)cc1,0.485522289,0.98734504,0.422164967,0.631677432
N1=C(c2c(c(OC)ccc2)OC)CC(C(=O)Nc2cc(C(F)(F)F)ccc2)O1,0.37013907,0.96087337,0.561537837,0.630850091
n1c(oc(n1)COc1ccc(NC(=O)C(NC(=O)c2ccccc2)C)cc1)c1ccccc1,0.594040245,0.9077289,0.390263157,0.630677438
c1(C(=O)N2CCC(CC2)C(C(=O)NCCC)NC(=O)c2cccc(c2)OC)ccc(cc1)OC,0.432546839,0.935381,0.522988699,0.630305511
c1(nnc(s1)COc1ccccc1)C(=O)Nc1ccc(C(=O)NCc2ccc(cc2)OCCC)cc1,0.484387447,0.9144062,0.491979572,0.630257733
c1(nnc(s1)CC)C(=O)Nc1cc(C(=O)NCc2ccc(cc2)OC)ccc1,0.411157328,0.9703193,0.508773296,0.630083298
c1(c(c2c([nH]1)ccc(c2)OC)NC(=O)c1ccccc1)C(=O)NCc1cc(c(cc1)OC)OC,0.441349577,0.9699239,0.478230856,0.629834782
n1c([nH]c2c1cc(C(=O)NCc1cc(OC)ccc1)cc2)CCc1ccc(NC(=O)C)cc1,0.408622235,0.9801546,0.5,0.62959227
c1(nnc(s1)COC)C(=O)Nc1ccc(C(=O)NCc2cc(OC)ccc2)cc1,0.384139493,0.9850995,0.519383612,0.629540867
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(ccc1)CC,0.439380929,0.88543934,0.563024606,0.629281624
N1=C(CC(C(=O)Nc2ccc(cc2)CC)O1)c1cc(c(cc1)OC)OC,0.324317539,0.9572771,0.605308513,0.628967724
c12nc(cn1cccn2)c1cc(NC(=O)c2cc(cc(c2)C)C)c(cc1)C,0.388218713,0.94249743,0.554320368,0.628345504
c1(cc(no1)c1cc(Cl)ccc1)C(=O)Nc1cc(F)ccc1,0.456464997,0.9612944,0.466721047,0.628160152
c1(c[nH]c2c1cccc2)C(CNC(=O)c1ccc(cc1)OC)c1ccc(cc1)OC,0.471902541,0.99141604,0.421126489,0.628148355
N1=C(CC(C(=O)Nc2cc(C(=O)C)ccc2)O1)c1cc(c(c(c1)OC)OC)OC,0.353892511,0.98438454,0.545390988,0.627889345
[nH]1cc(c2c1cccc2)SCC(=O)Nc1ccc(cc1)OC,0.440473722,0.98028886,0.46123377,0.627332119
n1c2n(c(cc1N1CCN(C(=O)Cc3ccc(cc3)C)CC1)CCC)cnn2,0.367163712,0.94252074,0.571616681,0.627100377
c1(sc2c(c1OC)cc(cc2)Cl)C(=O)Nc1ccccc1,0.497518741,0.93333775,0.45028381,0.627046766
c1([nH]c2c(c1)ccc(c2)OC)C(=O)Nc1ccc(F)cc1,0.41694556,0.8631524,0.599187718,0.626428554
N(C(=O)c1cc(cc(c1)OC)OC)C(c1ccccc1)c1ccccc1,0.470686659,0.9692611,0.439100013,0.62634926
c1([nH]c2c(c1)ccc(c2)OC)C(=O)Nc1ccc(c2[nH]c3c(c2)cc(cc3)F)cc1,0.465479456,0.86634797,0.543855856,0.62522776
N1=C(CC(C(=O)Nc2cc(O)ccc2)O1)c1cc(c(c(c1)OC)OC)OC,0.371165328,0.962914,0.541036971,0.625038763
c12nc(cn1cccn2)c1cc(NC(=O)c2cc(Cl)ccc2)ccc1,0.438896506,0.8662593,0.568251937,0.62446924
c1(nc(sc1)c1ccc(OCc2ccccc2)cc1)C(=O)Nc1cc(C(F)(F)F)ccc1,0.598518909,0.66711307,0.607256891,0.624296288
n1c([nH]c2c1cc(C(=O)NCc1ccc(cc1)CC)cc2)CCc1ccc(NC(=O)CC)cc1,0.382883871,0.9794185,0.510362238,0.624221542
n1(c(=O)n(c2c(c1=O)cc(S(=O)(=O)NC(C(=O)Nc1ccc(cc1)OCC)c1ccccc1)cc2)C)C,0.449099275,0.9402081,0.482387965,0.623898439
c1(C(=O)Nc2cc(C(=O)C)ccc2)oc(cc1)COc1ccc(cc1)OC,0.481124599,0.97578114,0.413839922,0.623581888
c1(sc2c(c1Cl)cccc2)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,0.412824563,0.9671308,0.490508349,0.623487898
